,price,price_per_m,postal_code,location,type,area,room
651,198 000,1 650 ,63550, Saint-Rémy-sur-Durolle,Maison,120,7
652,295 000,2 682 ,63000, Clermont-Ferrand (Jaude - Fontgiève Saint-Alyre),Maison,110,6
653,89 500,2 024 ,29000, Quimper (Centre-ville),Appartement,42,3
654,389 550,2 647 ,85270, Notre-Dame-de-Riez,Maison,140,6
655,305 000,7 438 ,93100, Montreuil (Bas Montreuil - Etienne Marcel - Chanzy),Appartement,40,2
656,1 135 000,7 993 ,92150, Suresnes (Liberté),Maison,142,6
657,123 900,3 411 ,85270, Saint-Hilaire-de-Riez (Caillaudières - Le Trou du Diable - Pradelle - Bussoleries),Appartement,34,2
658,315 000,4 846 ,69100, Villeurbanne (Grand Clément),Appartement,65,3
659,99 000,1 100 ,42000, Saint-Étienne (Montaud),Appartement,90,5
660,185 000,2 202 ,06340, Drap,Appartement,84,4
661,35 000,1 865 ,87000, Limoges (Louyat),Studio,19,
662,630 000,5 374 ,92000, Nanterre (Parc Nord),Appartement,117,5
663,240 000,3 380 ,33700, Mérignac (Saint-Augustin),Appartement,71,3
664,185 000,2 795 ,77100, Meaux (Beauval Colbert),Appartement,66,3
665,249 900,3 352 ,94600, Choisy-le-Roi (Centre-ville - Parc Prairie - Hautes Bornes),Appartement,71,3
666,215 000,3 634 ,66140, Canet-en-Roussillon (Le Port nautique - Europa),Maison,56,3
667,55 500,1 469 ,29000, Quimper (Penhars - Penanguer - Corniguel),Appartement,38,1
668,225 000,4 447 ,92600, Asnières-sur-Seine (Coubertin),Appartement,51,2
669,940 000,5 140 ,78280, Guyancourt (Zones d'activités - Hameau de Bouviers - Hameau de la Minière),Maison,179,8
670,379 900,5 936 ,06000, Nice (Gambetta),Appartement,64,3
671,59 000,2 107 ,87100, Limoges (La Bastide - La Brégère),Appartement,28,1
672,212 000,5 002 ,92270, Bois-Colombes (Jean Mermoz),Appartement,42,2
673,89 000,89 0,10200, Bar-sur-Aube,Maison,235,8
674,66 000,1 639 ,87000, Limoges (Centre-ville - Hôtel de Ville - Emailleurs),Appartement,40,2
675,450 000,3 309 ,01390, Tramoyes,Maison,136,7
676,198 000,1 179 ,04370, Colmars,Maison,168,9
677,390 000,4 432 ,69007, Lyon 7e (Guillotière),Appartement,88,4
678,220 000,220 0,21000, Dijon (Toison d'Or),Appartement,67,3
679,442 000,2 931 ,31830, Plaisance-du-Touch (Bourgogne - Terris - Traverse - La Hille),Maison,145,6
680,435 000,3 566 ,06440, Peillon,Maison,122,4
681,66 000,1 219 ,23000, Guéret (Centre-ville - La Rodde - Champegaud),Appartement,54,3
682,52 000,1 294 ,87000, Limoges (CHU),Appartement,40,2
683,77 000,1 100 ,87230, Flavignac,Maison,70,3
684,430 500,6 183 ,78870, Bailly,Appartement,66,3
685,139 990,3 111 ,66750, Saint-Cyprien (Village - Zone d'Activité),Appartement,45,2
686,670 000,3 131 ,01480, Jassans-Riottier,Maison,214,7
687,450 000,4 245 ,69970, Chaponnay,Maison,106,5
688,375 000,1 042 ,03450, Lalizolle,Maison,360,14
